"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"145","Mars-67b",21369.3435114504,29.8473282442748,58,131,131,18,1,4,114,12,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"146","Mars-68",23999.36,27.68,9,25,25,3,0,6,17,2,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"147","Mars-69",22492.75,28.25,23,36,36,9,0,2,30,4,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"148","Mars-7",19271.8055555556,23.6944444444444,23,36,36,10,0,5,30,1,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"149","Mars-70",22497.0652173913,30.5923913043478,89,184,184,38,0,2,161,21,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"150","Mars-71",30323.2372881356,36.3050847457627,35,59,59,14,0,5,50,4,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"151","Mars-72",17931.0476190476,20.8571428571429,10,21,21,2,0,2,18,1,"Northen Victoria Land","Mt. Billing",2010,"Sandstone",-75.70525,160.91389
"152","Mars-73",24189.9142857143,29.8714285714286,26,70,70,8,0,2,63,5,"Northen Victoria Land","Crater Circle",2010,"Granite",-72.60333,169.34883
"153","Mars-74",30906.8181818182,38.3333333333333,13,33,33,5,0,1,28,4,"Northen Victoria Land","Anderson Ridge",2010,"Granite",-74.714167,162.617778
"154","Mars-75b",20119.1428571429,23.6190476190476,10,21,21,1,0,2,19,0,"Northen Victoria Land","Pudding Butte",2010,"Sandstone",-75.86667,159.98333
"155","Mars-76",22170.9677419355,27.6451612903226,23,62,62,8,0,6,54,2,"Northen Victoria Land","Pudding Butte",2010,"Sandstone",-75.86747,159.98272
"156","Mars-78",39555.6,42.4,2,5,5,3,0,0,4,1,"Dry Valleys","Mt. Elektra",2018,"Sandstone",-77.491667,160.90672
"157","Mars-79",21109.4451612903,29.1870967741935,80,155,155,28,0,2,142,11,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578694,161.78658
"158","Mars-80",22618.5071090047,30.7014218009479,105,211,211,34,1,3,183,24,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578694,161.78658
"159","Mars-81",22194.0182648402,30.5068493150685,112,216,219,50,2,5,188,24,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.57775,161.78817
"160","Mars-82",21613.8461538462,23.3846153846154,7,13,13,0,0,1,11,1,"Dry Valleys","Convoy Range",2004,"Sandstone",-76.965944,160.765556
"161","Mars-83",25268.6923076923,27.1538461538462,20,26,26,8,0,1,21,4,"Dry Valleys","Convoy Range",2004,"Sandstone",-76.941667,161.078889
"162","Mars-84",27337.7163120567,32.8368794326241,65,140,141,29,1,5,119,16,"Dry Valleys","Convoy Range",2004,"Sandstone",-76.965944,160.765556
